EventType,EventNumber,Timestamp
Pause,1,2.4515279999977793
Pause,2,2.5952814999982365
Pause,3,2.7369506000031834
Pause,4,3.0792807000034372
Pause,5,3.2295976000095834
Pause,6,3.5737842000162345
Pause,7,3.6763780000183033
Pause,8,3.823483900021529
Pause,9,3.9614037000210374
Pause,10,4.105296400019142
Lap,1,4.786993000016082
Lap,2,5.137266000019736
Lap,3,5.307210500017391
Lap,4,5.441655800015724
Pause,11,5.7052480000202195
Pause,12,5.795523300017521
Pause,13,5.913405300016166
TotalDuration,,6.693388400017284
End,,
